-------------------------------------------------------------
scoreFunc = NRMS, Minimization runtime = 429.855 sec
Parameter              Initial Value     Final Value          Ratio 
Iso_bind_b2AR.Kd             0.04535         0.03841          0.8470
Iso_bind_b2AR.Kd             0.04535         0.01765          0.3891
Iso_bind_RGs.tau               173.9           158.7          0.9126
Iso_bind_RGs.tau               173.9           109.2          0.6280
LR_bind_GsGDP.Kf                2958            3570          1.2069
LR_bind_GsGDP.Kb               2.344           1.612          0.6875
R_bind_GsGDP.Kf                145.1           114.8          0.7909
R_bind_GsGDP.Kb               0.3745          0.2804          0.7488
CaM.concInit                 0.02022          0.0225          1.1125
ng.concInit                 0.009826        0.009491          0.9659
CaM_bind_Ca.Kd              0.006353         0.00494          0.7776
CaM_bind_Ca.tau              0.09721         0.06561          0.6749
CaMCa_bind_Ca.Kd            0.008681        0.001344          0.1548
CaMCa_bind_Ca.tau              0.101         0.07322          0.7251
CaMCa2_bind_Ca.Kd            0.04867         0.02538          0.5214
CaMCa2_bind_Ca.tau            0.1516          0.1821          1.2013
CaMCa3_bind_Ca.Kd             0.3564         0.09635          0.2703
CaMCa3_bind_Ca.tau             16.92           14.61          0.8638
CaM_ng_deph.Kf              0.002194        0.001582          0.7213
ng_bind_CaM.Kd              0.005469        0.002563          0.4686
ng_bind_CaM.tau               0.6104          0.5814          0.9525
Act_Gs.Kf                      8.349           7.353          0.8807
basalAct_Gs.Kf             0.0003968        0.002099          5.2907
Inact_Gs.Kf                  0.03018         0.01513          0.5012
Trimerize_Gs.Kf                 1593            1257          0.7891
AC1CaM_form_cAMP.Km          0.01182         0.00876          0.7409
AC1CaM_form_cAMP.kcat           17.82           14.64          0.8217
AC2p_form_cAMP.Km            0.01068         0.01075          1.0062
AC2p_form_cAMP.kcat            2.528           1.615          0.6388
AC2Gs_form_cAMP.Km           0.02536         0.01799          0.7092
AC2Gs_form_cAMP.kcat           41.47           30.92          0.7456
AC1Gs_form_cAMP.Km           0.02782         0.03512          1.2622
AC1Gs_form_cAMP.kcat           55.49           16.04          0.2890
AC2pGs_form_cAMP.Km          0.02409         0.01514          0.6283
AC2pGs_form_cAMP.kcat           34.65            28.7          0.8284
