-------------------------------------------------------------
scoreFunc = NRMS, Minimization runtime = 28.337 sec
Parameter              Initial Value     Final Value          Ratio 
Iso_bind_b2AR.Kd             0.03333         0.03325          0.9974
Iso_bind_b2AR.Kd             0.03333         0.03429          1.0287
Iso_bind_RGs.tau               249.9             217          0.8684
Iso_bind_RGs.tau               249.9           185.2          0.7414
LR_bind_GsGDP.Kf                1750            1121          0.6406
LR_bind_GsGDP.Kb                 1.6            1.19          0.7438
R_bind_GsGDP.Kf                115.5           118.6          1.0267
R_bind_GsGDP.Kb                0.217          0.2442          1.1255
CaM.concInit                 0.02022         0.02082          1.0296
ng.concInit                  0.01011        0.008564          0.8470
CaM_bind_Ca.Kd               0.00189         0.00191          1.0109
CaM_bind_Ca.tau              0.06324         0.07324          1.1581
CaMCa_bind_Ca.Kd            0.002042        0.002196          1.0754
CaMCa_bind_Ca.tau             0.1032            0.11          1.0667
CaMCa2_bind_Ca.Kd            0.01879         0.01566          0.8335
CaMCa2_bind_Ca.tau            0.3898           0.428          1.0977
CaMCa3_bind_Ca.Kd             0.3911           0.432          1.1045
CaMCa3_bind_Ca.tau             27.05           23.79          0.8797
CaM_ng_deph.Kf                 0.005           0.005          1.0000
ng_bind_CaM.Kd              0.003333        0.002795          0.8385
ng_bind_CaM.tau               0.7692          0.5873          0.7635
Act_Gs.Kf                      4.739           2.276          0.4803
basalAct_Gs.Kf             0.0004421       0.0002454          0.5552
Inact_Gs.Kf                   0.0553         0.02903          0.5249
Trimerize_Gs.Kf                 2613            1371          0.5245
AC1CaM_form_cAMP.Km             0.02         0.02003          1.0017
AC1CaM_form_cAMP.kcat              18           12.55          0.6970
AC2p_form_cAMP.Km            0.02011         0.02011          1.0000
AC2p_form_cAMP.kcat                7               7          1.0000
AC2Gs_form_cAMP.Km              0.02         0.01165          0.5827
AC2Gs_form_cAMP.kcat              18           18.04          1.0022
AC1Gs_form_cAMP.Km              0.02         0.02051          1.0256
AC1Gs_form_cAMP.kcat              18           14.52          0.8069
AC2pGs_form_cAMP.Km             0.06            0.06          1.0000
AC2pGs_form_cAMP.kcat              54              54          1.0000
CaM_bind_AC1.Kd                2e-05       2.173e-05          1.0863
CaM_bind_AC1.tau             0.01961          0.0192          0.9792
