-------------------------------------------------------------
scoreFunc = NRMS, Minimization runtime = 320.273 sec
Parameter              Initial Value     Final Value          Ratio 
EGF.concInit               1.438e-08        4.69e-08          3.2628
EGFR.concInit              0.0002404       0.0001988          0.8271
act_EGFR.Kf                  5.6e+04        1.65e+04          0.2947
act_EGFR.Kb                  0.02426        0.009268          0.3821
EGFR_Internalize.Kf            191.7           118.2          0.6169
EGFR_Internalize.Kb          0.00404        0.002326          0.5757
SHC.concInit                0.003489        0.001674          0.4797
EGFR_act_SHC.Km             0.001489       0.0008466          0.5684
EGFR_act_SHC.kcat             0.1118          0.2874          2.5713
SHCp_deph.Kf                 0.02477          0.0619          2.4992
Sos.concInit               4.927e-05        4.46e-05          0.9053
Grb2.concInit               0.003315         0.00195          0.5882
SHC_bind_SosGrb2.Kf        6.971e+05        2.59e+05          0.3715
SHC_bind_SosGrb2.Kb            46.95           73.86          1.5732
Grb2_bind_Sos.Kf               165.2           74.19          0.4492
Grb2_bind_Sos.Kb              0.1415         0.07445          0.5262
Sos_deph.Kf                  0.02636          0.0206          0.7815
MAPK_phosph_Sos.Km           0.00559         0.00308          0.5511
MAPK_phosph_Sos.kcat          0.1415          0.0707          0.4998
MAPK_phosph_Grb2.Km          0.01448         0.01171          0.8090
MAPK_phosph_Grb2.kcat          0.4351          0.3384          0.7778
Grb2_bind_Sos_p.Kf             13.58           7.756          0.5710
Grb2_bind_Sos_p.Kb           0.01874         0.01339          0.7143
Ras.concInit               0.0001427       0.0001353          0.9482
Sos_Ras_GEF.Km              0.002267       0.0008233          0.3633
Sos_Ras_GEF.kcat               1.605          0.9715          0.6055
Ras_intrinsic_GTPase.Kf         0.01696         0.05826          3.4355
basal_GEF.Kf                0.001677        0.001116          0.6657
craf1.concInit             6.826e-05       0.0001196          1.7518
Ras_act_raf.Kf             1.213e+04            5927          0.4887
Ras_act_raf.Kb                 0.923          0.7995          0.8663
MAPKK.concInit             7.235e-05       4.045e-05          0.5591
PP2A.concInit              0.0001061       8.964e-05          0.8447
eRas+MAPKK1.Km             7.577e-05       0.0001151          1.5193
eRas+MAPKK1.kcat              0.1861          0.1259          0.6767
eRas+MAPKK2.Km             0.0002795       0.0002954          1.0566
eRas+MAPKK2.kcat             0.01686         0.07156          4.2435
ePP2A+MAPKKp.Km               0.2844          0.1677          0.5896
ePP2A+MAPKKp.kcat             0.1743          0.0815          0.4675
ePP2A+MAPKKpq.Km            0.002992        0.002908          0.9718
ePP2A+MAPKKpq.kcat             4.138           2.655          0.6417
MAPK.concInit              3.537e-05       5.592e-05          1.5808
MKP2.concInit              1.924e-06       7.388e-07          0.3841
eMAPKK+MAPKp.Km            0.0003929       0.0003025          0.7700
eMAPKK+MAPKp.kcat             0.1453          0.1083          0.7452
eMAPKK+MAPK.Km             0.0001236       8.037e-05          0.6504
eMAPKK+MAPK.kcat                0.13         0.09531          0.7333
MKP1_tyr_deph.Km            4.65e-05       4.228e-05          0.9092
MKP1_tyr_deph.kcat            0.4664          0.3063          0.6568
MKP1_thr_deph.Km            1.97e-05       1.528e-05          0.7754
MKP1_thr_deph.kcat            0.3177          0.1047          0.3295

File                                       initScore  finalScore      weight
Abe2000_Fig1A.json                           0.19464     0.18030     200.000
Abe2000_Fig1B.json                           0.16295     0.20322      50.000
CapuaniF2015_Fig1C.json                      0.51626     0.41939      41.000
Choi2006_Fig7A.json                          0.03753     0.20469     100.000
Force1994_Fig.json                           0.73134     0.56142     100.000
Gu2004_Fig3B.json                            0.38139     0.35081      70.000
Haystead1992_Fig4.json                       0.63628     0.56578      70.000
Kholodenko1999_Fig2B_slow.json               0.26604     0.24234     400.000
Kholodenko1999_Fig3B.json                    0.58075     0.23715     100.000
Koh2006_Table1.json                          0.85683     0.85668     100.000
Martin2006_Fig1B.json                        0.09424     0.13535      52.000
Mukhin2003_Fig9B.json                        0.47297     0.35152      79.000
Mukhin2003_Fig9B_inset.json                  0.33452     0.31288     200.000
Orita1993_Table1.json                        0.85592     0.70386     100.000
Pinilla-Macua2016_Fig3A_internal.json        0.10935     0.08047      70.000
Pinilla-Macua2016_Fig3A_surface.json         0.10577     0.14855      70.000
Queipo2018_Fig2_pkScale.json                 0.29153     0.25481     100.000
Saito2004_Fig2C.json                         0.21916     0.28026      52.000
Santoro1994_Fig6B.json                       0.26081     0.05010     100.000
Seger1992_Table2.json                        0.20333     0.09847     100.000
Shah2003_Fig1B_pkScale.json                  0.66749     0.57670     200.000
SynthHennigA2016_Fig1A.json                  0.41349     0.47031     100.000
Tang2015_Fig4C.json                          0.38976     0.45746      50.000
Tang2015_Fig4D.json                          0.10934     0.28982      50.000
Teng1995_Fig9A.json                          0.45384     0.39347      50.000
Tucker1993_Fig7_pkScale.json                 0.34656     0.28986     100.000
Ung_2008.json                                0.93576     0.91894     100.000
Yoder-Hill1995_Fig1.json                     0.47601     0.47601     100.000
ZhouY2010_Fig3C_pkScale.json                 0.55520     0.40229     200.000
ZhouY2010_Fig3D.json                         0.51953     0.49093     100.000

Init score = 0.4742, final = 0.4185
